blocknum,parttime_2007,parttime_2012,parttime_2017,parttime_2022,parttimejob_growth_2007_2022_pct,suburb
712,1,1,1,1,0.0%,"Redfern, Erskineville and Macdonaldtown"
713,9,11,18,18,100.0%,"Redfern, Erskineville and Macdonaldtown"
714,0,2,2,8,0.0%,"Redfern, Erskineville and Macdonaldtown"
715,19,9,7,20,5.3%,"Redfern, Erskineville and Macdonaldtown"
716,9,15,5,13,44.4%,"Redfern, Erskineville and Macdonaldtown"
717,79,106,123,178,125.3%,"Redfern, Erskineville and Macdonaldtown"
718,56,44,70,77,37.5%,"Redfern, Erskineville and Macdonaldtown"
719,0,0,26,35,0.0%,"Redfern, Erskineville and Macdonaldtown"
720,0,2,5,5,0.0%,"Redfern, Erskineville and Macdonaldtown"
721,25,83,101,124,396.0%,"Redfern, Erskineville and Macdonaldtown"
722,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
723,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
724,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
725,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
726,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
727,6,13,13,34,466.7%,"Redfern, Erskineville and Macdonaldtown"
728,2,7,8,10,400.0%,"Redfern, Erskineville and Macdonaldtown"
729,6,14,14,19,216.7%,"Redfern, Erskineville and Macdonaldtown"
730,8,8,24,47,487.5%,"Redfern, Erskineville and Macdonaldtown"
731,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
732,5,16,8,10,100.0%,"Redfern, Erskineville and Macdonaldtown"
733,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
734,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
735,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
736,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
737,2,2,2,2,0.0%,"Redfern, Erskineville and Macdonaldtown"
738,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
739,38,67,29,48,26.3%,"Redfern, Erskineville and Macdonaldtown"
740,20,50,17,73,265.0%,"Redfern, Erskineville and Macdonaldtown"
741,0,13,7,27,0.0%,"Redfern, Erskineville and Macdonaldtown"
742,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
743,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
744,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
745,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
746,2,5,5,1,-50.0%,"Redfern, Erskineville and Macdonaldtown"
747,4,21,9,40,900.0%,"Redfern, Erskineville and Macdonaldtown"
748,0,11,8,20,0.0%,"Redfern, Erskineville and Macdonaldtown"
751,0,1,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
752,21,24,20,35,66.7%,"Redfern, Erskineville and Macdonaldtown"
753,12,10,24,7,-41.7%,"Redfern, Erskineville and Macdonaldtown"
754,2,4,0,4,100.0%,"Redfern, Erskineville and Macdonaldtown"
755,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
756,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
757,1,5,0,9,0.0%,"Redfern, Erskineville and Macdonaldtown"
758,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
759,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
760,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
761,0,0,0,0,0.0%,"Redfern, Erskineville and Macdonaldtown"
778,122,114,39,408,234.4%,"Redfern, Erskineville and Macdonaldtown"
779,19,89,23,108,468.4%,"Redfern, Erskineville and Macdonaldtown"
780,7,16,11,138,1871.4%,"Redfern, Erskineville and Macdonaldtown"
781,19,48,35,29,52.6%,"Redfern, Erskineville and Macdonaldtown"
782,7,11,14,29,314.3%,"Redfern, Erskineville and Macdonaldtown"
783,33,16,28,28,-15.2%,"Redfern, Erskineville and Macdonaldtown"
784,0,0,66,136,0.0%,"Redfern, Erskineville and Macdonaldtown"
785,8,14,32,32,300.0%,"Redfern, Erskineville and Macdonaldtown"
787,4,13,7,23,475.0%,"Redfern, Erskineville and Macdonaldtown"
788,1,23,31,31,0.0%,"Redfern, Erskineville and Macdonaldtown"
789,68,68,26,26,-61.8%,"Redfern, Erskineville and Macdonaldtown"
790,4,4,0,11,175.0%,"Redfern, Erskineville and Macdonaldtown"
791,14,4,20,20,42.9%,"Redfern, Erskineville and Macdonaldtown"
792,2,0,28,28,1300.0%,"Redfern, Erskineville and Macdonaldtown"
793,11,7,9,18,63.6%,"Redfern, Erskineville and Macdonaldtown"
794,12,26,36,22,83.3%,"Redfern, Erskineville and Macdonaldtown"
795,9,6,4,4,-55.6%,"Redfern, Erskineville and Macdonaldtown"
796,2,5,12,12,500.0%,"Redfern, Erskineville and Macdonaldtown"
797,0,2,4,4,0.0%,"Redfern, Erskineville and Macdonaldtown"
798,4,5,2,7,75.0%,"Redfern, Erskineville and Macdonaldtown"
799,1,4,3,3,0.0%,"Redfern, Erskineville and Macdonaldtown"
800,1,2,8,23,0.0%,Camperdown
801,0,16,36,36,0.0%,Camperdown
802,14,0,0,17,21.4%,Camperdown
803,0,0,3,1,0.0%,Camperdown
804,0,0,0,0,0.0%,Camperdown
805,0,0,0,0,0.0%,Camperdown
806,4,2,3,6,50.0%,Camperdown
807,3,0,0,2,-33.3%,Camperdown
809,4,3,23,18,350.0%,Camperdown
810,27,10,37,35,29.6%,Camperdown
811,44,24,56,56,27.3%,Camperdown
812,0,0,0,0,0.0%,Camperdown
813,3,0,4,4,33.3%,Camperdown
814,2,0,25,25,1150.0%,Camperdown
815,2,9,7,6,200.0%,Camperdown
816,16,20,9,9,-43.8%,Camperdown
817,0,0,0,0,0.0%,Camperdown
818,0,4,2,2,0.0%,Camperdown
819,24,40,26,26,8.3%,Camperdown
820,8,1,39,9,12.5%,Camperdown
821,28,42,38,38,35.7%,Camperdown
822,0,0,34,34,0.0%,Camperdown
823,28,8,26,26,-7.1%,Camperdown
824,0,62,14,54,0.0%,Camperdown
826,15,17,132,132,780.0%,Camperdown
827,155,159,75,75,-51.6%,Camperdown
828,1,31,7,7,0.0%,Camperdown
829,0,44,27,27,0.0%,Camperdown
830,5,33,143,143,2760.0%,Camperdown
831,0,0,1,1,0.0%,Camperdown
832,38,38,106,106,178.9%,Camperdown
833,9,9,49,49,444.4%,Camperdown
834,0,0,16,16,0.0%,Camperdown
835,18,33,38,38,111.1%,Camperdown
836,22,25,12,10,-54.5%,Camperdown
837,3,1,4,4,33.3%,Camperdown
838,34,11,18,18,-47.1%,Camperdown
839,39,48,40,40,2.6%,Glebe
840,8,47,27,27,237.5%,Glebe
841,5,3,11,11,120.0%,Glebe
842,0,0,0,0,0.0%,Glebe
843,0,33,16,16,0.0%,Glebe
844,23,75,80,80,247.8%,Glebe
845,0,4,5,5,0.0%,Glebe
846,0,0,0,0,0.0%,Camperdown
847,0,0,0,0,0.0%,Camperdown
848,0,0,0,0,0.0%,Camperdown
849,21,6,38,84,300.0%,Camperdown
850,11,14,11,27,145.5%,Camperdown
851,2,0,2,2,0.0%,Camperdown
852,0,0,0,0,0.0%,Camperdown
853,0,0,0,0,0.0%,Camperdown
854,0,0,0,0,0.0%,Camperdown
855,0,0,0,0,0.0%,Camperdown
856,0,1,0,0,0.0%,Camperdown
857,10,45,39,39,290.0%,Camperdown
858,54,76,65,65,20.4%,Camperdown
859,0,5,2,2,0.0%,Camperdown
860,41,43,48,48,17.1%,Camperdown
861,20,25,28,28,40.0%,Camperdown
863,131,114,452,633,383.2%,Camperdown
868,28,63,35,35,25.0%,Camperdown
869,0,0,0,0,0.0%,Camperdown
870,602,588,315,63,-89.5%,Camperdown
901,762,878,557,1258,65.1%,Glebe
902,179,165,75,237,32.4%,Glebe
903,10,18,29,39,290.0%,Glebe
904,27,22,12,29,7.4%,Glebe
905,0,17,1,10,0.0%,Glebe
906,0,0,0,0,0.0%,Glebe
907,0,0,0,0,0.0%,Glebe
908,0,0,0,2,0.0%,Glebe
909,0,0,0,0,0.0%,Glebe
910,0,0,0,0,0.0%,Glebe
911,148,141,80,118,-20.3%,Glebe
912,74,30,23,54,-27.0%,Glebe
913,50,63,22,94,88.0%,Glebe
914,0,0,0,0,0.0%,Glebe
915,11,12,19,14,27.3%,Glebe
916,34,31,50,64,88.2%,Glebe
917,37,22,14,35,-5.4%,Glebe
918,0,0,2,5,0.0%,Glebe
919,13,25,35,48,269.2%,Glebe
920,46,24,20,15,-67.4%,Glebe
921,4,4,6,2,-50.0%,Glebe
922,0,0,0,0,0.0%,Glebe
923,0,0,0,0,0.0%,Glebe
924,14,30,29,25,78.6%,Glebe
925,67,57,33,33,-50.7%,Glebe
926,0,3,0,0,0.0%,Glebe
927,0,0,0,8,0.0%,Glebe
928,0,0,0,0,0.0%,Glebe
929,0,0,0,0,0.0%,Glebe
930,0,0,0,0,0.0%,Glebe
931,0,2,3,1,0.0%,Glebe
932,0,6,0,0,0.0%,Glebe
933,0,0,0,0,0.0%,Glebe
934,0,0,0,0,0.0%,Glebe
935,1,4,0,0,0.0%,Glebe
936,0,0,0,0,0.0%,Glebe
937,53,24,16,16,-69.8%,Glebe
938,3,0,0,0,-100.0%,Glebe
939,0,3,4,4,0.0%,Glebe
940,2,2,0,0,-100.0%,Glebe
941,6,11,2,2,-66.7%,Glebe
942,26,23,32,32,23.1%,Glebe
943,0,0,0,0,0.0%,Glebe
944,0,0,0,0,0.0%,Glebe
945,34,28,29,29,-14.7%,Glebe
946,0,2,3,3,0.0%,Glebe
947,2,2,3,3,50.0%,Glebe
948,87,93,25,19,-78.2%,Glebe
949,3,0,9,9,200.0%,Glebe
950,0,0,14,14,0.0%,Glebe
951,27,19,21,21,-22.2%,Glebe
952,74,227,64,64,-13.5%,Glebe
953,3,8,16,16,433.3%,Glebe
954,0,0,0,0,0.0%,Glebe
955,0,0,0,0,0.0%,Glebe
956,0,0,0,0,0.0%,Glebe
957,0,0,0,0,0.0%,Glebe
958,18,38,34,34,88.9%,Glebe
959,20,20,24,24,20.0%,Glebe
960,0,0,0,0,0.0%,Glebe
961,16,11,18,18,12.5%,Glebe
962,0,0,0,0,0.0%,Glebe
963,0,0,0,0,0.0%,Glebe
964,0,0,0,0,0.0%,Glebe
965,0,1,6,6,0.0%,Glebe
966,0,0,0,0,0.0%,Glebe
967,0,0,5,5,0.0%,Glebe
969,0,0,0,0,0.0%,Glebe
970,0,0,0,0,0.0%,Glebe
971,0,0,0,0,0.0%,Glebe
972,0,0,0,0,0.0%,Glebe
973,7,8,15,13,85.7%,Glebe
974,6,6,7,21,250.0%,Glebe
975,0,0,0,0,0.0%,Glebe
976,5,41,14,48,860.0%,Glebe
977,23,48,31,37,60.9%,Glebe
978,0,0,0,0,0.0%,Glebe
979,0,0,0,0,0.0%,Glebe
980,25,17,8,9,-64.0%,Glebe
981,0,0,0,0,0.0%,Glebe
982,5,24,2,32,540.0%,Glebe
983,0,0,0,0,0.0%,Glebe
984,8,25,91,81,912.5%,Glebe
985,0,0,0,0,0.0%,Glebe
986,0,0,0,0,0.0%,Glebe
987,0,15,0,17,0.0%,Glebe
988,0,0,0,0,0.0%,Glebe
989,45,45,2,2,-95.6%,Glebe
990,0,0,12,10,0.0%,Glebe
991,0,0,0,0,0.0%,Glebe
992,56,10,28,22,-60.7%,Glebe
993,0,0,3,6,0.0%,Glebe
995,5,13,9,15,200.0%,Glebe
997,0,0,0,0,0.0%,Glebe
1000,2,2,0,0,-100.0%,Alexandria
1001,16,30,6,6,-62.5%,Alexandria
1002,25,20,7,7,-72.0%,Alexandria
1003,6,158,75,0,-100.0%,Alexandria
1004,10,10,7,7,-30.0%,Alexandria
1005,0,4,0,0,0.0%,Alexandria
1006,0,5,13,13,0.0%,Alexandria
1007,0,0,0,0,0.0%,Alexandria
1008,4,5,5,8,100.0%,Alexandria
1009,0,0,0,0,0.0%,Alexandria
1010,0,0,0,0,0.0%,Alexandria
1011,3,5,3,13,333.3%,Alexandria
1012,1,1,10,5,0.0%,Alexandria
1013,17,29,7,19,11.8%,Alexandria
1014,13,10,6,3,-76.9%,Alexandria
1015,8,6,3,2,-75.0%,Alexandria
1016,9,34,44,129,1333.3%,Alexandria
1017,0,11,0,0,0.0%,Alexandria
1018,8,6,0,0,-100.0%,Alexandria
1019,3,5,0,0,-100.0%,Alexandria
1020,0,1,4,4,0.0%,Alexandria
1021,0,0,0,0,0.0%,Alexandria
1022,0,0,0,0,0.0%,Alexandria
1023,3,2,0,0,-100.0%,Alexandria
1024,4,3,3,3,-25.0%,Alexandria
1025,6,9,2,2,-66.7%,Alexandria
1026,0,0,0,0,0.0%,Alexandria
1027,34,34,8,8,-76.5%,Alexandria
1028,0,0,0,0,0.0%,Alexandria
1029,0,0,2,2,0.0%,Alexandria
1030,29,60,45,42,44.8%,Alexandria
1031,0,30,10,10,0.0%,Alexandria
1032,5,17,10,10,100.0%,Alexandria
1033,0,0,0,0,0.0%,Alexandria
1034,0,4,0,0,0.0%,Alexandria
1035,0,21,29,29,0.0%,Alexandria
1036,0,0,8,8,0.0%,Alexandria
1037,39,33,41,41,5.1%,Alexandria
1038,84,48,14,14,-83.3%,Alexandria
1039,0,1,32,87,0.0%,Alexandria
1040,13,11,11,30,130.8%,Alexandria
1041,73,14,19,22,-69.9%,Alexandria
1042,0,0,0,0,0.0%,Alexandria
1043,84,75,58,218,159.5%,Alexandria
1044,4,36,9,10,150.0%,Alexandria
1045,0,6,28,4,0.0%,Alexandria
1046,7,4,13,7,0.0%,Alexandria
1047,0,0,0,0,0.0%,Alexandria
1048,0,0,0,0,0.0%,Alexandria
1049,4,2,2,3,-25.0%,Alexandria
1050,2,5,7,13,550.0%,Alexandria
1051,2,2,3,8,300.0%,Alexandria
1052,1,1,6,10,0.0%,Alexandria
1053,5,6,6,4,-20.0%,Alexandria
1054,0,0,0,0,0.0%,Alexandria
1055,26,26,5,2,-92.3%,Alexandria
1056,12,10,5,6,-50.0%,Alexandria
1057,32,20,38,96,200.0%,Alexandria
1058,0,3,12,46,0.0%,Alexandria
1059,7,41,157,176,2414.3%,Alexandria
1060,0,103,50,128,0.0%,Alexandria
1061,30,110,48,33,10.0%,Alexandria
1062,14,31,7,49,250.0%,Alexandria
1063,5,18,4,22,340.0%,Alexandria
1064,8,10,30,59,637.5%,Alexandria
1065,24,65,42,87,262.5%,Alexandria
1066,5,9,9,18,260.0%,Alexandria
1067,97,62,40,7,-92.8%,Alexandria
1069,9,12,24,34,277.8%,Alexandria
1070,16,11,6,26,62.5%,Alexandria
1071,0,0,1,4,0.0%,Alexandria
1072,0,4,21,4,0.0%,Alexandria
1073,0,4,1,1,0.0%,Alexandria
1074,0,1,0,0,0.0%,Alexandria
1075,0,2,5,5,0.0%,Alexandria
1076,5,0,259,259,5080.0%,Alexandria
1077,0,1,13,13,0.0%,Alexandria
1078,19,50,5,5,-73.7%,Alexandria
1080,23,16,10,10,-56.5%,Alexandria
1081,0,6,1,2,0.0%,Alexandria
1082,10,10,16,34,240.0%,Alexandria
1083,4,13,13,36,800.0%,Alexandria
1084,2,8,15,58,2800.0%,Alexandria
1085,40,47,0,0,-100.0%,Alexandria
1086,19,2,17,17,-10.5%,Alexandria
1087,12,12,20,92,666.7%,Alexandria
1088,32,17,27,145,353.1%,Alexandria
1089,5,26,26,80,1500.0%,Alexandria
1090,22,106,190,284,1190.9%,Alexandria
1091,19,7,12,10,-47.4%,Alexandria
1092,57,29,27,254,345.6%,Alexandria
1093,19,90,78,166,773.7%,Alexandria
1094,70,103,75,245,250.0%,Alexandria
1095,78,85,111,114,46.2%,Alexandria
1096,28,11,20,298,964.3%,Alexandria
1097,186,167,156,225,21.0%,Alexandria
1098,0,2,4,7,0.0%,Alexandria
1099,0,2,1,3,0.0%,Alexandria
1100,0,5,3,13,0.0%,Alexandria
1101,3,7,21,34,1033.3%,Alexandria
1102,25,31,26,141,464.0%,Alexandria
1103,0,27,0,67,0.0%,Alexandria
1104,8,6,2,21,162.5%,Alexandria
1105,4,18,6,21,425.0%,Alexandria
1106,11,25,19,173,1472.7%,Alexandria
1107,0,2,2,1,0.0%,Alexandria
1108,0,14,2,33,0.0%,Alexandria
1109,2,6,0,0,-100.0%,Alexandria
1110,28,34,5,87,210.7%,Alexandria
1111,5,26,5,54,980.0%,Alexandria
1112,38,45,6,32,-15.8%,Alexandria
1113,0,0,8,7,0.0%,Alexandria
1114,0,8,11,9,0.0%,Alexandria
1115,9,8,1,0,-100.0%,Alexandria
1116,14,12,19,51,264.3%,Alexandria
1117,18,17,13,49,172.2%,Alexandria
1118,1,7,89,111,0.0%,Alexandria
1119,0,0,0,0,0.0%,Alexandria
1120,6,7,2,21,250.0%,Alexandria
1121,22,29,3,101,359.1%,Alexandria
1122,20,127,40,48,140.0%,Alexandria
1123,38,53,62,58,52.6%,Alexandria
1124,0,0,0,0,0.0%,Alexandria
1125,0,0,0,0,0.0%,Alexandria
1126,2,2,4,9,350.0%,Alexandria
1127,1,8,7,8,0.0%,Alexandria
1128,0,0,0,0,0.0%,Alexandria
1129,0,0,0,0,0.0%,Alexandria
1130,0,0,0,0,0.0%,Alexandria
1131,0,0,0,0,0.0%,Alexandria
1132,2,2,0,3,50.0%,Alexandria
1133,4,5,2,3,-25.0%,Alexandria
1134,0,0,0,0,0.0%,Alexandria
1135,5,5,6,4,-20.0%,Alexandria
1136,0,0,0,0,0.0%,Alexandria
1137,0,0,2,4,0.0%,Alexandria
1138,0,0,0,0,0.0%,Alexandria
1139,0,0,36,88,0.0%,Alexandria
1140,0,0,48,48,0.0%,Alexandria
1141,50,22,46,58,16.0%,Alexandria
1142,0,0,0,0,0.0%,Alexandria
1143,0,9,50,100,0.0%,Alexandria
1144,0,2,2,1,0.0%,Alexandria
1145,0,0,0,4,0.0%,Alexandria
1146,0,0,0,0,0.0%,Alexandria
1147,0,0,0,0,0.0%,Alexandria
1148,41,41,19,44,7.3%,Alexandria
1149,39,36,46,96,146.2%,Alexandria
1150,55,28,19,30,-45.5%,Alexandria
1151,11,26,37,58,427.3%,Alexandria
1152,241,211,126,215,-10.8%,Alexandria
1153,40,122,149,244,510.0%,Alexandria
1154,94,102,121,172,83.0%,Alexandria
1155,172,255,224,436,153.5%,Alexandria
1156,66,83,73,207,213.6%,Alexandria
1157,134,251,316,324,141.8%,Alexandria
1158,95,99,439,1,-98.9%,Alexandria
1159,140,39,87,157,12.1%,Alexandria
1160,2,2,1,1,-50.0%,Alexandria
1161,3,121,3,3,0.0%,Alexandria
1163,24,8,7,7,-70.8%,Alexandria
1164,8,3,30,7,-12.5%,Alexandria
1201,0,2,1,4,0.0%,Zetland
1202,0,0,0,0,0.0%,Zetland
1203,0,0,0,0,0.0%,Zetland
1204,0,0,0,0,0.0%,Zetland
1205,0,0,0,0,0.0%,Zetland
1206,0,0,0,0,0.0%,Zetland
1207,0,0,0,0,0.0%,Zetland
1208,7,0,1,1,-85.7%,Zetland
1209,5,7,2,2,-60.0%,Zetland
1210,0,0,0,0,0.0%,Zetland
1211,0,0,0,0,0.0%,Zetland
1212,4,5,0,13,225.0%,Zetland
1213,45,0,0,27,-40.0%,Zetland
1214,8,8,17,7,-12.5%,Zetland
1215,0,0,0,0,0.0%,Zetland
1216,0,7,4,4,0.0%,Zetland
